Age,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance,mean_income_per_member,Employment Type_Government Sector,Employment Type_Private Sector/Self Employed,GraduateOrNot_No,GraduateOrNot_Yes
31,400000,6,1,0,0,0,57142.857142857145,1,0,0,1
31,1250000,7,0,0,0,0,156250.0,0,1,0,1
34,500000,4,1,0,0,1,100000.0,0,1,0,1
28,700000,3,1,0,0,0,175000.0,0,1,0,1
28,700000,8,1,1,0,0,77777.77777777778,0,1,0,1
25,1150000,4,0,0,0,0,230000.0,0,1,1,0
31,1300000,4,0,0,0,0,260000.0,1,0,0,1
31,1350000,3,0,1,1,1,337500.0,0,1,0,1
28,1450000,6,1,1,1,1,207142.85714285713,0,1,0,1
33,800000,3,0,1,0,0,200000.0,1,0,0,1
31,400000,9,1,0,0,0,40000.0,1,0,0,1
26,1400000,5,0,1,1,1,233333.33333333334,0,1,0,1
32,850000,6,0,0,0,1,121428.57142857143,1,0,0,1
31,1500000,6,0,1,1,1,214285.7142857143,1,0,0,1
31,400000,3,0,0,0,0,100000.0,1,0,0,1
34,700000,7,0,0,0,0,87500.0,0,1,0,1
28,1150000,4,1,0,0,0,230000.0,0,1,0,1
28,800000,7,0,0,0,1,100000.0,0,1,0,1
29,1050000,5,1,0,0,1,175000.0,0,1,0,1
34,1500000,2,0,1,1,1,500000.0,0,1,0,1
28,1150000,6,0,1,0,0,164285.7142857143,0,1,0,1
29,350000,3,0,0,0,1,87500.0,0,1,0,1
31,1100000,4,0,0,0,0,220000.0,0,1,0,1
28,600000,9,0,0,0,1,60000.0,1,0,0,1
31,1500000,7,0,1,1,0,187500.0,1,0,0,1
35,800000,4,0,0,1,0,160000.0,0,1,1,0
34,1300000,6,0,1,0,1,185714.2857142857,0,1,1,0
28,1250000,2,0,1,0,0,416666.6666666667,0,1,0,1
26,600000,4,0,1,0,0,120000.0,0,1,0,1
31,900000,3,0,0,0,0,225000.0,0,1,0,1
30,550000,6,0,1,1,0,78571.42857142857,0,1,1,0
31,300000,4,0,0,0,0,60000.0,1,0,1,0
25,750000,4,0,0,0,1,150000.0,1,0,0,1
32,850000,3,0,0,0,0,212500.0,1,0,0,1
28,800000,9,0,0,0,1,80000.0,0,1,0,1
33,1400000,4,0,1,1,0,280000.0,0,1,0,1
31,300000,9,1,0,0,0,30000.0,1,0,1,0
34,700000,4,0,0,0,0,140000.0,0,1,0,1
34,1100000,2,0,0,0,0,366666.6666666667,1,0,0,1
33,1500000,5,1,1,1,1,250000.0,0,1,0,1
25,1400000,3,1,1,1,1,350000.0,0,1,0,1
33,550000,5,0,0,0,0,91666.66666666667,0,1,0,1
26,1500000,2,1,1,1,1,500000.0,0,1,0,1
28,1200000,4,0,1,0,1,240000.0,0,1,0,1
25,1400000,7,0,0,1,1,175000.0,0,1,0,1
34,1400000,5,1,0,1,1,233333.33333333334,0,1,1,0
25,1400000,4,0,0,1,1,280000.0,0,1,0,1
35,1100000,5,0,0,0,0,183333.33333333334,1,0,0,1
28,600000,3,0,0,0,0,150000.0,0,1,0,1
31,1350000,3,0,0,1,1,337500.0,0,1,0,1
31,1250000,3,1,0,0,0,312500.0,0,1,0,1
29,1050000,3,0,0,0,0,262500.0,0,1,0,1
31,1250000,4,0,0,1,0,250000.0,0,1,0,1
28,300000,2,0,0,0,0,100000.0,1,0,0,1
29,1200000,7,0,0,0,0,150000.0,0,1,0,1
26,750000,5,0,0,0,0,125000.0,0,1,0,1
28,550000,3,0,0,0,1,137500.0,0,1,0,1
34,1000000,6,0,0,0,1,142857.14285714287,0,1,0,1
33,1400000,6,0,1,1,1,200000.0,0,1,0,1
33,1400000,9,0,1,1,1,140000.0,0,1,0,1
31,1250000,4,0,1,1,0,250000.0,0,1,0,1
32,800000,3,0,1,0,1,200000.0,1,0,0,1
28,800000,4,0,1,0,0,160000.0,0,1,0,1
27,500000,2,0,0,0,0,166666.66666666666,1,0,0,1
30,1450000,9,0,1,1,1,145000.0,0,1,1,0
26,600000,5,1,0,0,0,100000.0,0,1,0,1
30,800000,6,0,1,0,0,114285.71428571429,0,1,1,0
34,1500000,3,0,1,1,1,375000.0,0,1,0,1
29,350000,4,0,0,0,0,70000.0,0,1,0,1
31,300000,4,0,0,0,0,60000.0,1,0,1,0
34,1300000,4,0,0,0,0,260000.0,1,0,0,1
28,750000,6,0,1,0,0,107142.85714285714,0,1,0,1
28,800000,6,1,1,0,0,114285.71428571429,0,1,0,1
28,750000,7,0,1,0,0,93750.0,0,1,0,1
28,700000,4,1,0,0,0,140000.0,0,1,0,1
34,1300000,5,0,0,0,0,216666.66666666666,0,1,0,1
29,1200000,3,0,0,0,1,300000.0,0,1,0,1
31,400000,4,0,0,0,0,80000.0,1,0,1,0
31,1300000,3,0,0,1,1,325000.0,1,0,0,1
31,400000,5,1,0,0,0,66666.66666666667,1,0,1,0
26,1300000,4,1,0,0,0,260000.0,0,1,0,1
25,1150000,8,0,0,0,0,127777.77777777778,0,1,1,0
28,1250000,4,1,0,0,0,250000.0,0,1,0,1
34,950000,4,0,1,0,1,190000.0,0,1,1,0
32,350000,6,1,0,0,0,50000.0,1,0,0,1
25,1700000,4,0,1,0,1,340000.0,0,1,1,0
32,900000,4,0,0,0,0,180000.0,1,0,0,1
28,300000,6,0,0,0,0,42857.142857142855,1,0,0,1
34,1050000,5,1,0,0,0,175000.0,0,1,0,1
28,300000,8,0,0,0,0,33333.333333333336,1,0,0,1
27,1050000,3,0,0,0,0,262500.0,1,0,0,1
28,300000,4,1,0,0,0,60000.0,1,0,0,1
28,1150000,5,0,0,0,0,191666.66666666666,0,1,0,1
33,700000,7,0,1,0,1,87500.0,1,0,0,1
34,1300000,4,0,0,0,0,260000.0,0,1,0,1
26,1400000,5,0,0,1,1,233333.33333333334,0,1,0,1
28,700000,4,0,0,0,0,140000.0,0,1,0,1
29,350000,7,0,0,0,0,43750.0,0,1,0,1
29,1100000,6,0,0,0,0,157142.85714285713,0,1,0,1
29,600000,3,0,0,0,0,150000.0,1,0,0,1
28,1300000,6,1,0,0,1,185714.2857142857,0,1,0,1
33,1500000,3,1,1,1,1,375000.0,0,1,0,1
29,500000,3,1,0,0,0,125000.0,0,1,0,1
26,1400000,5,0,0,1,1,233333.33333333334,0,1,0,1
28,1150000,3,0,0,0,0,287500.0,0,1,0,1
28,750000,3,0,0,0,0,187500.0,0,1,0,1
34,1300000,3,0,0,0,0,325000.0,0,1,0,1
34,850000,3,1,0,1,0,212500.0,0,1,0,1
26,1300000,4,0,0,0,1,260000.0,0,1,0,1
25,1700000,3,0,1,0,1,425000.0,0,1,0,1
31,400000,5,0,0,0,0,66666.66666666667,1,0,0,1
28,800000,5,0,0,0,0,133333.33333333334,0,1,0,1
30,800000,4,0,0,0,0,160000.0,0,1,1,0
29,900000,4,0,1,0,0,180000.0,0,1,0,1
29,500000,5,0,0,0,0,83333.33333333333,0,1,0,1
29,900000,4,0,0,0,0,180000.0,0,1,0,1
28,1150000,5,0,0,0,1,191666.66666666666,0,1,0,1
31,400000,5,0,0,0,0,66666.66666666667,1,0,0,1
31,1500000,4,1,1,1,1,300000.0,1,0,0,1
31,500000,4,0,0,0,0,100000.0,0,1,0,1
28,800000,3,1,0,0,0,200000.0,0,1,0,1
26,1400000,6,0,0,1,1,200000.0,0,1,0,1
32,800000,6,1,0,0,0,114285.71428571429,1,0,0,1
27,850000,3,0,0,0,0,212500.0,1,0,0,1
32,350000,4,1,0,0,0,70000.0,1,0,0,1
29,500000,3,1,0,0,1,125000.0,0,1,0,1
32,800000,5,0,1,0,0,133333.33333333334,1,0,0,1
27,750000,5,0,0,0,0,125000.0,1,0,0,1
31,1350000,8,0,0,1,1,150000.0,0,1,0,1
29,1050000,6,0,0,0,0,150000.0,0,1,0,1
28,800000,4,0,0,0,0,160000.0,0,1,0,1
28,750000,4,0,0,0,0,150000.0,0,1,0,1
28,1100000,4,0,0,0,0,220000.0,0,1,0,1
25,1750000,4,0,0,1,1,350000.0,0,1,0,1
28,600000,5,0,1,0,0,100000.0,0,1,0,1
28,800000,6,0,0,1,1,114285.71428571429,0,1,0,1
29,500000,6,0,0,0,1,71428.57142857143,0,1,0,1
29,600000,4,1,1,0,0,120000.0,0,1,0,1
28,1150000,4,0,0,0,0,230000.0,0,1,0,1
35,800000,7,1,0,0,1,100000.0,0,1,1,0
28,550000,4,1,0,0,0,110000.0,0,1,0,1
25,1400000,3,0,0,1,0,350000.0,0,1,0,1
32,350000,9,1,0,0,0,35000.0,1,0,0,1
26,1300000,4,0,0,0,0,260000.0,0,1,0,1
31,1250000,4,0,0,0,0,250000.0,0,1,0,1
28,1150000,6,0,0,0,0,164285.7142857143,0,1,0,1
30,750000,3,1,0,0,1,187500.0,0,1,1,0
31,400000,4,1,0,0,0,80000.0,1,0,1,0
25,1400000,4,0,0,1,1,280000.0,0,1,0,1
28,800000,5,1,0,0,0,133333.33333333334,0,1,0,1
28,650000,2,1,0,0,1,216666.66666666666,0,1,0,1
29,1200000,7,0,0,0,1,150000.0,0,1,0,1
28,1200000,5,0,1,0,0,200000.0,0,1,0,1
25,600000,5,0,1,0,0,100000.0,0,1,1,0
28,700000,4,0,1,0,0,140000.0,0,1,0,1
34,1300000,6,0,0,0,1,185714.2857142857,0,1,0,1
28,900000,4,0,1,0,0,180000.0,0,1,0,1
28,600000,3,1,0,0,0,150000.0,0,1,0,1
31,1250000,6,0,1,0,1,178571.42857142858,0,1,0,1
27,900000,7,1,0,0,0,112500.0,1,0,0,1
31,1200000,5,1,0,0,1,200000.0,1,0,0,1
34,1400000,3,1,0,1,1,350000.0,0,1,1,0
34,500000,7,0,0,0,1,62500.0,0,1,0,1
32,350000,5,0,0,0,0,58333.333333333336,1,0,0,1
28,300000,6,0,0,0,0,42857.142857142855,1,0,0,1
33,1000000,4,0,0,0,0,200000.0,1,0,0,1
28,800000,7,0,0,0,0,100000.0,0,1,0,1
31,400000,3,0,0,0,0,100000.0,1,0,0,1
27,850000,7,1,0,0,0,106250.0,1,0,0,1
25,600000,6,0,0,0,0,85714.28571428571,0,1,1,0
31,1350000,6,1,0,1,1,192857.14285714287,0,1,0,1
28,900000,7,0,0,0,0,112500.0,0,1,0,1
27,600000,8,0,0,0,0,66666.66666666667,0,1,1,0
26,450000,5,1,0,0,1,75000.0,0,1,0,1
34,700000,6,0,1,0,1,100000.0,0,1,0,1
30,800000,3,0,0,0,0,200000.0,0,1,1,0
34,1050000,6,0,0,0,1,150000.0,0,1,0,1
28,1250000,5,0,0,0,0,208333.33333333334,0,1,0,1
32,350000,6,0,0,0,0,50000.0,1,0,0,1
26,1250000,4,0,0,0,0,250000.0,0,1,0,1
28,750000,6,0,1,0,0,107142.85714285714,0,1,0,1
26,1300000,3,0,0,0,0,325000.0,0,1,0,1
35,800000,3,0,1,0,1,200000.0,0,1,1,0
25,1700000,3,1,1,0,0,425000.0,0,1,1,0
25,750000,3,0,0,0,0,187500.0,1,0,0,1
28,300000,4,0,0,0,1,60000.0,1,0,0,1
28,500000,9,0,0,0,1,50000.0,0,1,0,1
28,650000,9,0,0,0,0,65000.0,0,1,0,1
26,500000,4,0,0,0,0,100000.0,1,0,0,1
26,1400000,7,1,0,1,1,175000.0,0,1,0,1
27,900000,5,0,0,0,0,150000.0,1,0,0,1
30,650000,3,0,0,1,0,162500.0,0,1,1,0
28,800000,4,1,0,1,0,160000.0,0,1,0,1
34,1300000,5,1,0,0,0,216666.66666666666,0,1,1,0
33,1100000,5,0,0,0,0,183333.33333333334,1,0,0,1
25,1400000,5,0,1,1,1,233333.33333333334,0,1,0,1
34,1000000,7,0,0,0,1,125000.0,0,1,0,1
29,1150000,5,1,1,0,0,191666.66666666666,0,1,0,1
25,1350000,4,0,0,1,1,270000.0,0,1,1,0
30,1450000,5,0,1,1,1,241666.66666666666,0,1,1,0
27,1050000,4,0,0,0,1,210000.0,1,0,0,1
31,1400000,2,0,0,1,1,466666.6666666667,0,1,0,1
28,600000,7,0,0,0,1,75000.0,0,1,0,1
28,1100000,4,1,0,0,0,220000.0,0,1,0,1
32,900000,4,0,1,0,0,180000.0,1,0,0,1
29,1150000,4,1,0,1,0,230000.0,0,1,0,1
25,1150000,5,1,0,0,1,191666.66666666666,0,1,1,0
31,350000,3,0,0,0,0,87500.0,1,0,1,0
29,1350000,4,0,0,1,1,270000.0,0,1,0,1
25,1700000,3,1,1,0,0,425000.0,0,1,1,0
28,1200000,5,1,1,0,0,200000.0,0,1,0,1
27,450000,5,0,0,0,0,75000.0,0,1,1,0
28,750000,5,1,0,0,0,125000.0,0,1,0,1
26,1400000,5,0,1,1,1,233333.33333333334,0,1,0,1
27,850000,5,1,0,1,0,141666.66666666666,1,0,0,1
33,1100000,5,0,0,0,0,183333.33333333334,1,0,0,1
34,1050000,8,0,0,0,1,116666.66666666667,0,1,0,1
28,800000,6,0,0,0,0,114285.71428571429,0,1,0,1
26,1500000,7,0,1,1,0,187500.0,0,1,0,1
31,1250000,9,1,0,0,0,125000.0,0,1,0,1
35,800000,2,0,0,0,0,266666.6666666667,0,1,1,0
28,1200000,6,1,0,0,0,171428.57142857142,0,1,0,1
28,1200000,3,0,0,0,0,300000.0,0,1,0,1
30,650000,3,0,0,0,0,162500.0,0,1,1,0
31,1100000,5,0,1,0,0,183333.33333333334,0,1,0,1
31,1250000,2,0,0,0,0,416666.6666666667,0,1,0,1
34,1300000,9,1,0,0,1,130000.0,1,0,0,1
34,1300000,6,1,0,0,0,185714.2857142857,0,1,0,1
34,1000000,5,0,0,0,0,166666.66666666666,0,1,0,1
34,1000000,2,0,0,0,0,333333.3333333333,0,1,0,1
29,900000,7,0,1,0,0,112500.0,0,1,0,1
31,1200000,5,1,0,0,0,200000.0,1,0,0,1
28,1250000,6,0,0,0,0,178571.42857142858,0,1,0,1
31,1200000,6,1,0,0,0,171428.57142857142,1,0,0,1
34,1300000,4,0,0,0,0,260000.0,0,1,0,1
30,550000,4,0,0,0,0,110000.0,0,1,1,0
26,1500000,5,0,1,1,1,250000.0,0,1,0,1
30,500000,8,0,0,0,0,55555.555555555555,0,1,1,0
29,600000,3,1,0,0,0,150000.0,0,1,0,1
26,1250000,5,0,0,0,0,208333.33333333334,0,1,0,1
27,350000,7,0,0,0,0,43750.0,0,1,1,0
35,800000,6,0,0,0,1,114285.71428571429,0,1,1,0
33,400000,4,0,0,0,0,80000.0,1,0,0,1
26,750000,6,0,0,0,0,107142.85714285714,0,1,0,1
27,500000,4,0,0,0,0,100000.0,1,0,0,1
28,1150000,3,0,0,0,0,287500.0,0,1,0,1
31,350000,6,1,0,0,0,50000.0,1,0,1,0
27,1050000,3,0,1,0,1,262500.0,1,0,0,1
34,1300000,6,0,0,0,1,185714.2857142857,1,0,0,1
28,1150000,5,0,0,0,0,191666.66666666666,0,1,0,1
34,1000000,6,1,0,0,1,142857.14285714287,0,1,0,1
28,300000,5,0,0,0,0,50000.0,1,0,0,1
29,1350000,5,1,0,1,1,225000.0,0,1,0,1
28,1400000,2,0,0,1,1,466666.6666666667,0,1,0,1
28,1200000,5,0,0,0,0,200000.0,1,0,0,1
34,1500000,5,0,1,1,1,250000.0,0,1,0,1
34,1300000,7,1,0,1,1,162500.0,1,0,0,1
33,550000,5,0,0,0,1,91666.66666666667,0,1,0,1
29,900000,7,0,1,0,0,112500.0,0,1,0,1
33,400000,3,1,0,0,1,100000.0,1,0,0,1
26,1400000,3,1,0,1,1,350000.0,0,1,0,1
28,1100000,4,1,0,0,1,220000.0,0,1,0,1
26,750000,4,1,0,0,0,150000.0,0,1,0,1
35,800000,4,0,0,0,0,160000.0,0,1,1,0
29,350000,9,1,0,0,0,35000.0,0,1,0,1
27,850000,6,0,1,0,0,121428.57142857143,1,0,0,1
31,400000,5,0,0,0,0,66666.66666666667,1,0,0,1
33,1100000,4,0,0,0,1,220000.0,1,0,0,1
34,500000,6,0,0,0,1,71428.57142857143,0,1,0,1
27,800000,5,0,0,0,0,133333.33333333334,0,1,1,0
34,1300000,6,0,0,1,1,185714.2857142857,1,0,0,1
35,900000,3,1,0,0,0,225000.0,1,0,0,1
28,700000,3,1,0,0,0,175000.0,0,1,0,1
34,1000000,6,0,1,0,1,142857.14285714287,0,1,0,1
32,850000,7,0,0,0,1,106250.0,1,0,0,1
26,1400000,4,1,0,1,1,280000.0,0,1,0,1
29,1050000,6,0,0,0,0,150000.0,0,1,0,1
31,950000,7,0,1,0,0,118750.0,0,1,0,1
32,800000,5,1,0,0,1,133333.33333333334,1,0,0,1
32,350000,6,0,0,0,0,50000.0,1,0,0,1
32,800000,6,0,1,0,0,114285.71428571429,1,0,0,1
26,750000,6,0,0,0,0,107142.85714285714,0,1,0,1
26,1400000,4,0,0,1,1,280000.0,0,1,0,1
26,600000,4,0,1,0,0,120000.0,0,1,0,1
28,750000,3,0,0,0,1,187500.0,0,1,0,1
33,750000,4,0,0,0,0,150000.0,0,1,0,1
28,600000,3,0,0,0,0,150000.0,0,1,0,1
29,1200000,4,0,0,0,0,240000.0,0,1,0,1
29,1100000,4,0,0,0,0,220000.0,0,1,0,1
26,500000,3,0,0,0,0,125000.0,0,1,0,1
32,900000,6,1,0,0,0,128571.42857142857,1,0,0,1
34,1300000,3,0,1,0,0,325000.0,0,1,0,1
27,850000,4,0,0,0,0,170000.0,1,0,0,1
31,1250000,3,0,0,0,1,312500.0,0,1,0,1
29,1200000,4,0,0,0,0,240000.0,0,1,0,1
28,550000,5,0,0,0,0,91666.66666666667,0,1,0,1
32,350000,7,0,0,0,0,43750.0,1,0,0,1
35,800000,7,1,0,0,1,100000.0,0,1,1,0
25,1700000,4,0,1,0,1,340000.0,0,1,1,0
27,450000,3,0,0,0,0,112500.0,0,1,1,0
32,900000,5,1,0,0,1,150000.0,1,0,0,1
27,850000,4,1,0,0,0,170000.0,1,0,0,1
34,700000,6,0,0,0,1,100000.0,0,1,0,1
31,300000,3,0,0,0,0,75000.0,1,0,1,0
34,1050000,3,0,0,0,0,262500.0,0,1,0,1
26,1250000,4,1,0,1,0,250000.0,0,1,0,1
33,650000,5,1,0,0,1,108333.33333333333,1,0,0,1
28,1150000,8,1,0,0,0,127777.77777777778,0,1,0,1
34,1000000,9,1,0,0,0,100000.0,0,1,0,1
33,650000,4,0,0,0,1,130000.0,1,0,0,1
30,550000,8,0,0,0,0,61111.11111111111,0,1,1,0
34,1500000,7,0,1,1,1,187500.0,0,1,0,1
32,850000,7,0,0,0,0,106250.0,1,0,0,1
25,1150000,4,0,0,0,1,230000.0,0,1,1,0
26,1400000,5,0,0,1,1,233333.33333333334,0,1,0,1
28,300000,4,0,0,0,0,60000.0,1,0,0,1
31,950000,5,1,0,0,0,158333.33333333334,0,1,0,1
32,800000,6,0,0,0,1,114285.71428571429,1,0,0,1
34,1100000,3,0,0,0,1,275000.0,1,0,0,1
25,1700000,2,1,1,0,1,566666.6666666666,0,1,0,1
35,800000,5,0,0,0,0,133333.33333333334,0,1,1,0
28,500000,3,0,0,0,0,125000.0,0,1,0,1
28,750000,3,0,0,0,0,187500.0,0,1,0,1
33,1400000,5,0,0,1,1,233333.33333333334,0,1,0,1
28,300000,5,0,0,0,0,50000.0,1,0,0,1
31,1250000,4,0,0,0,0,250000.0,0,1,0,1
28,1150000,5,0,0,0,0,191666.66666666666,0,1,0,1
34,1300000,3,0,0,0,0,325000.0,1,0,0,1
34,700000,6,0,1,1,1,100000.0,0,1,0,1
28,1100000,8,0,0,0,0,122222.22222222222,0,1,0,1
35,800000,4,0,0,0,0,160000.0,0,1,1,0
33,550000,4,0,0,0,1,110000.0,0,1,0,1
31,1650000,7,1,1,0,1,206250.0,0,1,0,1
31,1400000,6,1,0,1,0,200000.0,0,1,0,1
29,1050000,3,0,0,0,1,262500.0,0,1,0,1
28,800000,2,0,0,0,1,266666.6666666667,0,1,0,1
32,350000,9,1,0,0,0,35000.0,1,0,0,1
30,550000,7,0,1,0,0,68750.0,0,1,1,0
28,600000,3,0,0,0,0,150000.0,0,1,0,1
29,1050000,5,0,0,0,0,175000.0,0,1,0,1
27,800000,7,1,0,0,0,100000.0,0,1,1,0
28,550000,7,0,0,0,0,68750.0,0,1,0,1
28,1100000,2,0,0,0,1,366666.6666666667,0,1,0,1
28,1250000,7,0,0,0,0,156250.0,0,1,0,1
32,800000,4,0,1,1,0,160000.0,1,0,0,1
29,1200000,5,0,0,1,0,200000.0,0,1,0,1
25,1800000,7,1,1,0,1,225000.0,0,1,0,1
34,1300000,6,0,1,0,0,185714.2857142857,0,1,0,1
31,1400000,6,1,0,1,0,200000.0,0,1,0,1
28,500000,3,0,0,0,0,125000.0,0,1,0,1
31,950000,5,0,1,1,0,158333.33333333334,0,1,0,1
29,1200000,9,1,1,0,0,120000.0,0,1,0,1
31,1350000,6,0,0,1,1,192857.14285714287,0,1,0,1
31,300000,3,0,0,0,0,75000.0,1,0,1,0
25,1150000,5,0,0,0,1,191666.66666666666,0,1,1,0
28,1400000,3,0,0,1,1,350000.0,0,1,0,1
34,1000000,4,0,0,0,0,200000.0,0,1,0,1
34,500000,5,0,0,0,0,83333.33333333333,0,1,0,1
34,1000000,5,0,1,0,0,166666.66666666666,0,1,0,1
25,1150000,3,0,0,0,0,287500.0,0,1,1,0
28,550000,4,0,0,0,0,110000.0,0,1,1,0
29,1350000,4,0,0,1,1,270000.0,0,1,0,1
28,700000,2,1,0,0,0,233333.33333333334,0,1,0,1
34,1300000,4,0,0,0,0,260000.0,1,0,0,1
31,1200000,6,0,0,0,0,171428.57142857142,1,0,0,1
25,1700000,3,0,1,0,1,425000.0,0,1,1,0
28,300000,3,0,0,0,0,75000.0,1,0,0,1
31,1300000,4,0,0,0,0,260000.0,1,0,0,1
35,800000,3,0,0,0,1,200000.0,0,1,1,0
32,800000,7,1,0,0,0,100000.0,1,0,0,1
31,1300000,6,0,0,0,1,185714.2857142857,1,0,0,1
27,900000,5,1,0,1,0,150000.0,1,0,0,1
29,350000,5,1,0,0,0,58333.333333333336,0,1,0,1
28,900000,5,0,1,0,0,150000.0,0,1,0,1
28,600000,7,0,0,0,0,75000.0,1,0,0,1
28,1100000,6,1,0,0,0,157142.85714285713,0,1,0,1
31,1300000,4,0,0,0,0,260000.0,1,0,0,1
27,1550000,4,0,1,0,1,310000.0,0,1,1,0
25,1700000,5,0,1,0,1,283333.3333333333,0,1,0,1
27,1550000,6,0,1,0,1,221428.57142857142,0,1,1,0
28,1200000,5,1,0,0,0,200000.0,0,1,0,1
29,1200000,5,0,0,0,0,200000.0,0,1,0,1
31,1400000,6,0,0,1,1,200000.0,0,1,0,1
29,1100000,4,0,0,0,0,220000.0,0,1,0,1
33,600000,3,0,0,1,0,150000.0,1,0,0,1
34,1000000,5,0,0,0,0,166666.66666666666,0,1,0,1
28,1350000,5,0,0,1,1,225000.0,0,1,0,1
28,300000,5,0,0,0,0,50000.0,1,0,0,1
28,550000,5,0,0,0,0,91666.66666666667,0,1,0,1
31,1350000,5,0,0,1,1,225000.0,0,1,0,1
33,550000,5,0,0,0,1,91666.66666666667,0,1,0,1
28,1200000,5,0,0,0,1,200000.0,1,0,0,1
31,950000,4,1,0,0,1,190000.0,0,1,0,1
29,1050000,3,0,1,0,0,262500.0,0,1,0,1
